Drone ID,Application,Drone Size,Drone Model,Manufacturer,Propeller Count,Max Carry Weight (kg),Actual Carry Weight (kg),Payload Type,Payload Description,Altitude (meters),Flight Duration (minutes),Distance Flown (km),Operator ID,Flight Date,Battery Remaining (%),GPS Accuracy (meters),Wind Speed (m/s),Obstacles Encountered,Flight Status,Regulatory Approval ID,Notes,label
D119,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,16.8,Liquid Tank,Water for testing,33,30.0,9.5,OP003,2025-04-13,46,3.2,7.1,Yes,Completed,REG-2025-RST-345,,route_anomaly
D120,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.8,Package,Office supplies,70,23.0,7.5,OP013,2025-04-14,86,1.9,3.4,No,Completed,REG-2025-UVW-678,,normal
D121,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Polarizing filter,89,22.0,6.2,OP004,2025-04-15,97,1.4,2.4,No,Completed,REG-2025-XYZ-901,,sensor_weather_anomaly
D122,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.3,Camera,Infrared camera for heat detection,102,39.0,12.5,OP002,2025-04-16,61,2.5,5.7,Yes,Completed,REG-2025-ABC-234,,route_anomaly
D123,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.2,Liquid Tank,Plant growth hormone,29,34.0,10.5,OP003,2025-04-17,43,3.4,7.6,No,Completed,REG-2025-DEF-567,,sensor_weather_anomaly
D124,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.1,Package,Small appliances,65,21.0,6.8,OP013,2025-04-18,89,1.7,3.1,No,Completed,REG-2025-GHI-890,,normal
D125,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.4,Camera,Wide-angle lens,81,18.0,5.8,OP004,2025-04-19,94,1.2,2.2,No,Completed,REG-2025-JKL-123,,sensor_weather_anomaly
D126,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.1,Sensor,Acoustic emission sensor,107,42.0,13.2,OP002,2025-04-20,67,2.2,5.2,Yes,Completed,REG-2025-MNO-456,,route_anomaly
D127,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.5,Package,Medicine,72,19.0,5.2,OP011,2025-04-21,96,1.4,2.8,No,Completed,REG-2025-PQR-789,,sensor_weather_anomaly
D128,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Time-lapse camera,86,23.0,6.5,OP004,2025-04-22,91,1.3,2.5,No,Completed,REG-2025-STU-012,,sensor_weather_anomaly
D129,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.8,Liquid Tank,Nutrient solution,31,33.0,10.2,OP003,2025-04-23,41,3.3,7.4,Yes,Completed,REG-2025-VWX-345,,route_anomaly
D130,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.6,Package,Consumer electronics,69,24.0,7.1,OP013,2025-04-24,87,1.8,3.3,No,Completed,REG-2025-XYZ-678,,normal
D131,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.2,Camera,Action camera,83,17.0,5.9,OP004,2025-04-25,99,1.0,2.0,No,Completed,REG-2025-ABC-901,,sensor_weather_anomaly
D132,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.7,Camera,High-resolution still camera,105,40.0,12.8,OP002,2025-04-26,63,2.4,5.9,Yes,Completed,REG-2025-DEF-234,,route_anomaly
D133,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.5,Liquid Tank,Defoliant,27,36.0,11.5,OP003,2025-04-27,39,3.6,7.9,Yes,Completed,REG-2025-GHI-567,,route_anomaly
D134,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.9,Package,Documents,71,26.0,8.2,OP013,2025-04-28,84,2.0,3.6,No,Completed,REG-2025-JKL-890,,sensor_weather_anomaly
D135,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.8,Camera,Zoom lens,87,21.0,6.8,OP004,2025-04-29,92,1.5,2.6,No,Completed,REG-2025-MNO-123,,sensor_weather_anomaly
D136,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,4.8,"Camera, Sensor",Infrared and ultraviolet camera,108,56.0,14.0,OP002,2025-05-26,57,2.9,7.2,Yes,Completed,REG-2025-VWX-456,,route_anomaly
D137,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6.0,2.9,Camera,Vehicle speed detection camera,82,38.0,11.0,OP005,2025-05-27,70,1.8,4.0,No,Completed,REG-2025-XYZ-789,,sensor_weather_anomaly
D138,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16.0,9.5,Camera,High-frame-rate camera,158,68.0,21.0,OP002,2025-05-28,43,3.2,8.3,Yes,Completed,REG-2025-ABC-012,,route_anomaly
D139,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11.0,7.2,"Camera, GPS",Total station integration,53,35.0,9.0,OP006,2025-05-29,80,1.6,3.0,No,Completed,REG-2025-DEF-345,,normal
D140,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.9,Camera,Live streaming camera,93,30.0,7.0,OP004,2025-05-30,94,1.7,3.8,No,Completed,REG-2025-GHI-678,,sensor_weather_anomaly
D141,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.1,Package,Clothing items,68,22.0,7.0,OP013,2025-05-01,88,1.8,3.2,No,Completed,REG-2025-DEF-901,,normal
D142,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.4,Camera,Standard lens,82,19.0,5.0,OP004,2025-05-02,93,1.1,2.0,No,Completed,REG-2025-GHI-234,,sensor_weather_anomaly
D143,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.5,Liquid Tank,Herbicide,32,31.0,10.0,OP003,2025-05-03,45,3.1,7.3,No,Completed,REG-2025-JKL-567,,sensor_weather_anomaly
D144,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.2,Package,Food delivery,70,16.0,4.0,OP011,2025-05-04,90,1.5,2.9,No,Completed,REG-2025-MNO-890,,normal
D145,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Telephoto lens,88,21.0,6.0,OP004,2025-05-05,96,1.3,2.3,No,Completed,REG-2025-OPQ-123,,sensor_weather_anomaly
D146,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.8,Camera,Thermal imaging camera,108,38.0,12.0,OP002,2025-05-06,65,2.1,5.0,Yes,Completed,REG-2025-RST-456,,route_anomaly
D147,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,19.0,Liquid Tank,Fungicide,28,33.0,9.0,OP003,2025-05-07,42,3.5,7.8,Yes,Completed,REG-2025-UVW-789,,route_anomaly
D148,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.5,Package,Electronics accessories,72,25.0,8.0,OP013,2025-05-08,85,1.7,3.0,No,Completed,REG-2025-XYZ-012,,sensor_weather_anomaly
D149,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.3,Camera,ND filters,85,20.0,7.0,OP004,2025-05-09,98,1.0,2.1,No,Completed,REG-2025-ABC-345,,sensor_weather_anomaly
D150,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.9,Sensor,Gas leak sensor,112,41.0,14.0,OP002,2025-05-10,68,2.3,5.5,Yes,Completed,REG-2025-DEF-678,,route_anomaly
D151,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.3,Package,Books,73,16.0,4.2,OP012,2025-05-11,92,1.6,2.9,No,Completed,REG-2025-GHI-901,,sensor_weather_anomaly
D152,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.5,Camera,Standard lens,81,18.0,5.2,OP004,2025-05-12,94,1.2,2.3,No,Completed,REG-2025-JKL-234,,sensor_weather_anomaly
D153,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.1,Liquid Tank,Organic fertilizer,34,30.0,10.5,OP003,2025-05-13,47,3.1,7.2,No,Completed,REG-2025-MNO-567,,sensor_weather_anomaly
D154,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.1,Package,Food delivery,69,15.0,3.8,OP011,2025-05-14,89,1.4,2.6,No,Completed,REG-2025-OPQ-890,,normal
D155,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Telephoto lens,87,20.0,6.1,OP004,2025-05-15,95,1.3,2.1,No,Completed,REG-2025-RST-123,,sensor_weather_anomaly
D156,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.5,Camera,Thermal imaging camera,109,37.0,11.8,OP002,2025-05-16,64,2.2,5.4,Yes,Completed,REG-2025-UVW-456,,route_anomaly
D157,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.8,Liquid Tank,Fungicide,27,32.0,8.8,OP003,2025-05-17,41,3.3,7.5,Yes,Completed,REG-2025-XYZ-789,,route_anomaly
D158,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.3,Package,Electronics accessories,71,24.0,7.3,OP013,2025-05-18,87,1.8,3.2,No,Completed,REG-2025-ABC-012,,sensor_weather_anomaly
D159,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.2,Camera,ND filters,84,19.0,6.5,OP004,2025-05-19,97,1.1,2.2,No,Completed,REG-2025-DEF-345,,sensor_weather_anomaly
D160,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.6,Sensor,Gas leak sensor,111,40.0,13.5,OP002,2025-05-20,69,2.4,5.7,Yes,Completed,REG-2025-GHI-678,,route_anomaly
D161,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.4,Package,Medicine,70,18.0,4.9,OP011,2025-05-21,95,1.3,2.7,No,Completed,REG-2025-JKL-901,,normal
D162,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.8,Camera,Time-lapse camera,85,22.0,6.8,OP004,2025-05-22,92,1.2,2.4,No,Completed,REG-2025-MNO-234,,sensor_weather_anomaly
D163,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.5,Liquid Tank,Nutrient solution,32,31.0,10.8,OP003,2025-05-23,44,3.4,7.3,Yes,Completed,REG-2025-OPQ-567,,route_anomaly
D164,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.7,Package,Consumer electronics,68,23.0,7.5,OP013,2025-05-24,88,1.9,3.4,No,Completed,REG-2025-RST-890,,normal
D165,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.3,Camera,Action camera,82,16.0,5.5,OP004,2025-05-25,98,1.1,2.1,No,Completed,REG-2025-UVW-123,,sensor_weather_anomaly
D166,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.9,Camera,High-resolution still camera,106,38.0,12.2,OP002,2025-05-26,62,2.3,5.8,Yes,Completed,REG-2025-XYZ-456,,route_anomaly
D167,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.2,Liquid Tank,Defoliant,28,35.0,11.2,OP003,2025-05-27,40,3.5,7.6,Yes,Completed,REG-2025-ABC-789,,route_anomaly
D168,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.2,Package,Documents,70,25.0,7.8,OP013,2025-05-28,85,2.1,3.5,No,Completed,REG-2025-DEF-901,,normal
D169,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Zoom lens,86,20.0,6.2,OP004,2025-05-29,93,1.4,2.3,No,Completed,REG-2025-GHI-234,,sensor_weather_anomaly
D170,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.2,Sensor,Magnetic particle inspection sensor,110,42.0,13.8,OP002,2025-05-30,68,2.2,5.5,Yes,Completed,REG-2025-JKL-567,,route_anomaly
D171,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.1,Camera,UV inspection camera,102,59.0,16.0,OP002,2025-05-21,55,2.7,6.9,Yes,Completed,REG-2025-MNO-890,,route_anomaly
D172,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6.0,3.0,Camera,License plate recognition camera,81,36.0,10.0,OP005,2025-05-22,78,1.6,4.1,No,Completed,REG-2025-OPQ-123,,sensor_weather_anomaly
D173,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16.0,8.8,Camera,High-resolution video camera,157,72.0,23.0,OP002,2025-05-23,42,3.0,8.2,Yes,Completed,REG-2025-RST-345,,route_anomaly
D174,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11.0,7.3,"Camera, GPS",Real-time kinematic (RTK) GPS,52,33.0,8.0,OP006,2025-05-24,85,1.3,3.1,No,Completed,REG-2025-UVW-678,,normal
D175,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.9,Camera,360-degree video camera,92,29.0,5.5,OP004,2025-05-25,91,1.8,3.8,No,Completed,REG-2025-XYZ-901,,sensor_weather_anomaly
D176,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10.0,3.8,Package,Emergency rations,68,53.0,26.0,OP011,2025-05-26,62,2.4,4.9,No,Completed,REG-2025-ABC-234,,normal
D177,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14.0,6.8,Sensor,Ultrasonic leak detector,38,62.0,22.0,OP002,2025-05-27,80,2.1,6.7,Yes,Completed,REG-2025-DEF-567,,route_anomaly
D178,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.2,Sensor,Leaf area index sensor,45,25.0,8.5,OP003,2025-05-28,88,1.1,4.0,No,Completed,REG-2025-GHI-890,,normal
D179,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.7,Camera,Trail camera,108,52.0,17.0,OP009,2025-05-29,70,1.6,4.5,Yes,Completed,REG-2025-JKL-123,,route_anomaly
D180,Emergency Response,Large,FirstResponder,RescueFly,8,13.0,6.2,First Aid Kit,Basic medical supplies,138,47.0,12.0,OP007,2025-05-30,58,2.8,5.8,Yes,Completed,REG-2025-MNO-456,,route_anomaly
D181,Product Photography,Small,StudioShot,PhotoFly,4,1.0,0.6,Camera,Macro lens camera,52,17.0,3.5,OP004,2025-05-31,95,0.8,2.0,No,Completed,REG-2025-OPQ-789,,normal
D182,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.3,Package,Clothing items,70,23.0,7.2,OP013,2025-05-01,89,1.7,3.3,No,Completed,REG-2025-DEF-901,,normal
D183,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.5,Camera,Standard lens,83,20.0,5.3,OP004,2025-05-02,92,1.2,2.1,No,Completed,REG-2025-GHI-234,,sensor_weather_anomaly
D184,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.8,Liquid Tank,Herbicide,33,32.0,10.8,OP003,2025-05-03,46,3.2,7.5,No,Completed,REG-2025-JKL-567,,sensor_weather_anomaly
D185,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.1,Package,Food delivery,71,15.0,4.1,OP011,2025-05-04,91,1.4,2.8,No,Completed,REG-2025-MNO-890,,sensor_weather_anomaly
D186,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Telephoto lens,86,21.0,6.3,OP004,2025-05-05,94,1.3,2.2,No,Completed,REG-2025-OPQ-123,,sensor_weather_anomaly
D187,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.3,Camera,Thermal imaging camera,110,39.0,12.1,OP002,2025-05-06,63,2.3,5.6,Yes,Completed,REG-2025-RST-456,,route_anomaly
D188,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.2,Liquid Tank,Fungicide,29,33.0,9.2,OP003,2025-05-07,44,3.4,7.7,Yes,Completed,REG-2025-UVW-789,,route_anomaly
D189,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.6,Package,Electronics accessories,73,26.0,7.5,OP013,2025-05-08,86,1.6,3.1,No,Completed,REG-2025-XYZ-012,,sensor_weather_anomaly
D058,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.1,Package,Small appliances,65,21.0,6.8,OP013,2025-04-18,89,1.7,3.1,No,Completed,REG-2025-GHI-890,,normal
D190,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.4,Camera,ND filters,82,18.0,6.1,OP004,2025-05-09,97,1.1,2.3,No,Completed,REG-2025-ABC-345,,sensor_weather_anomaly
D191,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.8,Sensor,Gas leak sensor,113,42.0,13.8,OP002,2025-05-10,70,2.1,5.3,Yes,Completed,REG-2025-DEF-678,,route_anomaly
D192,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.2,Package,Medicine,71,17.0,5.5,OP011,2025-05-11,94,1.5,2.9,No,Completed,REG-2025-GHI-901,,sensor_weather_anomaly
D193,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Time-lapse camera,88,21.0,6.8,OP004,2025-05-12,93,1.3,2.6,No,Completed,REG-2025-JKL-234,,sensor_weather_anomaly
D194,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.9,Liquid Tank,Nutrient solution,30,34.0,10.5,OP003,2025-05-13,42,3.3,7.1,Yes,Completed,REG-2025-MNO-567,,route_anomaly
D195,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.8,Package,Consumer electronics,72,25.0,7.8,OP013,2025-05-14,85,1.7,3.5,No,Completed,REG-2025-OPQ-890,,sensor_weather_anomaly
D196,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.4,Camera,Action camera,81,19.0,5.2,OP004,2025-05-15,96,1.1,2.1,No,Completed,REG-2025-RST-123,,sensor_weather_anomaly
D197,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.5,Camera,High-resolution still camera,107,37.0,12.5,OP002,2025-05-16,65,2.4,5.8,Yes,Completed,REG-2025-UVW-456,,route_anomaly
D198,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.8,Liquid Tank,Defoliant,26,37.0,11.8,OP003,2025-05-17,40,3.6,8.0,Yes,Completed,REG-2025-XYZ-789,,route_anomaly
D199,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.1,Package,Documents,73,22.0,7.1,OP013,2025-05-18,88,2.0,3.7,No,Completed,REG-2025-ABC-012,,sensor_weather_anomaly
D200,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Zoom lens,89,23.0,6.5,OP004,2025-05-19,91,1.5,2.7,No,Completed,REG-2025-DEF-345,,sensor_weather_anomaly
D201,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.4,Sensor,Magnetic particle inspection sensor,112,41.0,13.2,OP002,2025-05-20,67,2.2,5.4,Yes,Completed,REG-2025-GHI-678,,route_anomaly
D202,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.2,Camera,UV inspection camera,101,60.0,17.0,OP002,2025-05-21,53,2.9,7.0,Yes,Completed,REG-2025-JKL-901,,route_anomaly
D203,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6.0,3.2,Camera,License plate recognition camera,82,37.0,10.5,OP005,2025-05-22,76,1.7,4.3,No,Completed,REG-2025-MNO-234,,sensor_weather_anomaly
D204,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16.0,8.9,Camera,High-resolution video camera,156,71.0,22.5,OP002,2025-05-23,41,3.1,8.1,Yes,Completed,REG-2025-OPQ-567,,route_anomaly
D205,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11.0,7.1,"Camera, GPS",Real-time kinematic (RTK) GPS,51,34.0,7.5,OP006,2025-05-24,84,1.4,3.0,No,Completed,REG-2025-RST-890,,normal
D206,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.9,Camera,360-degree video camera,91,30.0,5.2,OP004,2025-05-25,93,1.9,3.9,No,Completed,REG-2025-UVW-123,,sensor_weather_anomaly
D008,Film Production,Large,CineDrone X,FilmCraft,8,18.0,10.0,Camera,Professional cinema camera with gimbal,60,40.0,7.0,OP008,2025-03-27,70,2.0,4.2,No,Completed,REG-2025-VWX-234,Filming aerial shots for a movie,normal
D009,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2.0,1.2,Sensor,Air quality sampling device,40,28.0,6.0,OP009,2025-03-28,88,1.1,2.7,No,Completed,REG-2025-YZA-567,Collecting air pollution data over urban area,normal
D010,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3.0,1.5,Scanner,Barcode and RFID scanner,15,30.0,4.0,OP010,2025-03-29,75,0.9,1.5,No,Completed,REG-2025-BCD-890,Indoor inventory management,normal
D011,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.0,Package,Small documents,60,18.0,5.0,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,Express document delivery,normal
D012,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.5,Camera,High-definition camera,90,38.0,12.0,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,Routine bridge structure assessment,route_anomaly
D013,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,Multispectral camera for plant health analysis,45,22.0,7.0,OP003,2025-03-17,80,1.0,3.3,No,Completed,REG-2025-KLM-789,Assessing crop health in a small farm,normal
D014,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,Wide-angle camera for property showcasing,75,25.0,4.0,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,Taking aerial photos of a residential property,sensor_weather_anomaly
D015,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.0,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55.0,16.0,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,Inspecting high-voltage power lines,route_anomaly
D207,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10.0,3.6,Package,Emergency rations,67,54.0,27.0,OP011,2025-05-26,61,2.5,5.0,No,Completed,REG-2025-XYZ-456,,normal
D208,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14.0,6.9,Sensor,Ultrasonic leak detector,39,61.0,21.5,OP002,2025-05-27,79,2.2,6.6,Yes,Completed,REG-2025-ABC-789,,route_anomaly
D209,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.2,Sensor,Leaf area index sensor,44,27.0,8.2,OP003,2025-05-28,87,1.2,3.8,No,Completed,REG-2025-DEF-901,,normal
D210,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.8,Camera,Trail camera,107,51.0,16.5,OP009,2025-05-29,69,1.7,4.4,Yes,Completed,REG-2025-GHI-234,,route_anomaly
D211,Emergency Response,Large,FirstResponder,RescueFly,8,13.0,6.1,First Aid Kit,Basic medical supplies,137,46.0,11.5,OP007,2025-05-30,56,2.8,5.9,Yes,Completed,REG-2025-JKL-567,,route_anomaly
D212,Product Photography,Small,StudioShot,PhotoFly,4,1.0,0.7,Camera,Macro lens camera,51,18.0,3.2,OP004,2025-05-31,94,0.9,2.1,No,Completed,REG-2025-MNO-890,,normal
D213,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.4,Package,Clothing items,69,21.0,7.1,OP013,2025-05-01,87,1.9,3.4,No,Completed,REG-2025-OPQ-123,,normal
D214,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Standard lens,82,19.0,5.4,OP004,2025-05-02,91,1.3,2.2,No,Completed,REG-2025-RST-456,,sensor_weather_anomaly
D215,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.6,Liquid Tank,Herbicide,31,30.0,10.2,OP003,2025-05-03,44,3.3,7.4,No,Completed,REG-2025-UVW-789,,sensor_weather_anomaly
D216,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.3,Package,Food delivery,70,14.0,4.3,OP011,2025-05-04,88,1.6,2.7,No,Completed,REG-2025-XYZ-012,,normal
D217,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.8,Camera,Telephoto lens,85,22.0,6.5,OP004,2025-05-05,95,1.2,2.3,No,Completed,REG-2025-ABC-345,,sensor_weather_anomaly
D218,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.6,Camera,Thermal imaging camera,107,38.0,11.9,OP002,2025-05-06,66,2.1,5.5,Yes,Completed,REG-2025-DEF-678,,route_anomaly
D219,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.5,Liquid Tank,Fungicide,28,31.0,9.5,OP003,2025-05-07,43,3.5,7.8,Yes,Completed,REG-2025-GHI-901,,route_anomaly
D220,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.2,Package,Electronics accessories,71,23.0,7.1,OP013,2025-05-08,87,1.8,3.2,No,Completed,REG-2025-JKL-234,,sensor_weather_anomaly
D221,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.3,Camera,ND filters,83,17.0,5.8,OP004,2025-05-09,99,1.0,2.1,No,Completed,REG-2025-MNO-567,,sensor_weather_anomaly
D222,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.7,Sensor,Gas leak sensor,110,40.0,13.2,OP002,2025-05-10,71,2.3,5.4,Yes,Completed,REG-2025-OPQ-890,,route_anomaly
D223,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.4,Package,Medicine,73,18.0,5.1,OP011,2025-05-11,93,1.4,2.8,No,Completed,REG-2025-RST-123,,sensor_weather_anomaly
D224,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.9,Camera,Time-lapse camera,87,24.0,6.2,OP004,2025-05-12,90,1.2,2.5,No,Completed,REG-2025-UVW-456,,sensor_weather_anomaly
D225,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.7,Liquid Tank,Nutrient solution,30,32.0,10.5,OP003,2025-05-13,45,3.2,7.3,Yes,Completed,REG-2025-XYZ-789,,route_anomaly
D226,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.5,Package,Consumer electronics,70,22.0,7.4,OP013,2025-05-14,86,1.9,3.5,No,Completed,REG-2025-ABC-012,,normal
D227,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.2,Camera,Action camera,84,16.0,5.8,OP004,2025-05-15,97,1.0,2.2,No,Completed,REG-2025-DEF-345,,sensor_weather_anomaly
D228,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.8,Camera,High-resolution still camera,106,39.0,12.8,OP002,2025-05-16,64,2.5,5.9,Yes,Completed,REG-2025-GHI-678,,route_anomaly
D229,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.1,Liquid Tank,Defoliant,29,34.0,11.8,OP003,2025-05-17,42,3.4,7.7,Yes,Completed,REG-2025-JKL-901,,route_anomaly
D230,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.9,Package,Documents,72,27.0,8.1,OP013,2025-05-18,83,2.1,3.8,No,Completed,REG-2025-MNO-234,,sensor_weather_anomaly
D231,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Zoom lens,88,20.0,6.1,OP004,2025-05-19,90,1.5,2.6,No,Completed,REG-2025-OPQ-567,,sensor_weather_anomaly
